순번,레벨,문제,선택지①,선택지②,선택지③,선택지④,정답번호,정답 문구,참고쪽수
1,LEVEL 1,제미나이(Gemini)를 개발한 회사는 어디인가요?,오픈AI,마이크로소프트,구글,메타,3,구글이 개발한 생성형 AI입니다. 챗GPT(오픈AI)와 헷갈리지 마세요!,21
2,LEVEL 1,제미나이의 요금제 3가지를 모두 고른 것은?,베이직/스탠다드/프리미엄,프리/프로/울트라,라이트/플러스/맥스,무료/유료/기업,2,프리(무료) · 프로(29000원/월) · 울트라(36만원/월) — 세 가지입니다.,34
3,LEVEL 1,제미나이 프로(Pro) 요금제의 월 구독료는? (책 기준),9900원,19000원,29000원,39000원,3,프로 요금제는 29000원/월이며 첫 1개월은 무료입니다.,34
4,LEVEL 1,제미나이의 대화 모드 3가지로 올바른 것은?,일반/심화/전문가 모드,텍스트/이미지/영상 모드,빠른/사고/프로 모드,기본/고급/울트라 모드,3,빠른 모드(일상 대화) · 사고 모드(복잡한 문제) · 프로 모드(코딩·수학 등 고난도).,35
5,LEVEL 1,존재하지 않는 내용을 AI가 그럴듯하게 생성하는 현상은?,딥페이크 현상,환각 현상,오류 현상,학습 오염,2,세종대왕 맥북프로 던짐 사건으로 유명해진 바로 그 현상입니다.,41
6,LEVEL 1,생성형 AI가 텍스트를 처리하는 기본 단위는?,바이트(Byte),청크(Chunk),토큰(Token),노드(Node),3,토큰 한도를 초과하면 대화 중 내용이 잘리거나 맥락을 잊어버립니다.,44
7,LEVEL 1,생성형 AI에게 지시할 때 입력하는 내용을 무엇이라 하나요?,커맨드,코드,쿼리,프롬프트,4,생성형 AI에게 전달하는 지시문을 프롬프트라고 합니다.,46
8,LEVEL 1,좋은 프롬프트 작성의 2가지 핵심 규칙은?,짧게/영어로,구체적으로+역할 부여,반복해서/친절하게,단계별/예시 없이,2,① 구체적으로 설명하기 ② 전문성·역할 부여하기 — 이 두 가지가 핵심입니다.,46
9,LEVEL 1,임시 채팅에서 나눈 대화는 몇 시간 후 자동 삭제되나요?,24시간,48시간,72시간,일주일,3,임시 채팅은 72시간 후 삭제되며 모델 학습에도 사용되지 않습니다.,54
10,LEVEL 1,AI 생성 결과물의 저작권 기준에 대해 책에서 설명한 내용은?,구글이 모든 책임을 진다,아직 명확한 기준이 없어 사용자가 신중하게 이용해야 한다,저작권이 없으므로 자유롭게 써도 된다,유료 구독자는 상업적 이용이 허용된다,2,아직 법적 기준이 불명확합니다. 사용자 스스로 보수적으로 이용하는 태도가 필요합니다.,50
11,LEVEL 2,결과물을 문서·인포그래픽·퀴즈·앱으로 구현하고 편집할 수 있는 작업 공간은?,딥 리서치,캔버스,동적 뷰,젬,2,캔버스는 제미나이의 도화지! 결과물을 그 자리에서 수정하고 구현할 수 있습니다.,61
